project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
subversion-1.9.5,c,809,156778,280,preprocessor,Classic vector model,0.3277310924369748,0.06980894346142402,0.11510066527402882,17812.912312984467
subversion-1.9.5,c,809,156778,280,preprocessor,Neural networks,0.5806451612903226,0.2253164468161036,0.3246529444752983,26472.340319871902
subversion-1.9.5,c,809,156778,280,preprocessor,Extended boolean,0.8378378378378378,0.33696667446667433,0.48063048277667164,26469.834973096848
subversion-1.9.5,c,809,156778,280,preprocessor,BM25,0.9585062240663901,0.0839021217500645,0.15429789339766703,17782.744124889374
gnumeric-1.8.4,c,539,248311,506,preprocessor,Neural networks,0.636986301369863,0.4125423203545496,0.5007653938382788,27854.388098955154
gnumeric-1.8.4,c,539,248311,506,preprocessor,Classic vector model,0.4397463002114165,0.20384753800462665,0.27856450861373755,18973.817081928253
gnumeric-1.8.4,c,539,248311,506,preprocessor,Extended boolean,0.8970588235294118,0.6634550702565407,0.7627720934224381,27834.554446935654
gnumeric-1.8.4,c,539,248311,506,preprocessor,BM25,0.9722222222222222,0.06772682810674077,0.1266322178094577,18813.61187005043
libxml2-2.9.3,c,159,242524,2171,preprocessor,Neural networks,0.919917864476386,0.17303898626745642,0.2912862563787063,28022.520940065384
libxml2-2.9.3,c,159,242524,2171,preprocessor,BM25,0.9966068831798351,0.15861337113275292,0.27367106289063764,19105.471286058426
libxml2-2.9.3,c,159,242524,2171,preprocessor,Extended boolean,0.9720071471113758,0.1991179986713044,0.3305267904527367,28134.185882806778
libxml2-2.9.3,c,159,242524,2171,preprocessor,Classic vector model,0.8933591856519632,0.1519139412720892,0.2596712980910194,19174.421117067337
openldap-2.4.45,c,668,285946,951,preprocessor,BM25,0.9776444929116684,0.09796350572616155,0.17808250217698615,44958.49232888222
openldap-2.4.45,c,668,285946,951,preprocessor,Extended boolean,0.6983471074380165,0.4178678194311589,0.522868447584169,71812.40983891487
openldap-2.4.45,c,668,285946,951,preprocessor,Classic vector model,0.42039258451472195,0.07246784175594649,0.12362503323914886,45049.501292943954
openldap-2.4.45,c,668,285946,951,preprocessor,Neural networks,0.5739371534195934,0.2835017653616587,0.37953069924182126,71849.15457201004
